CERT,NAME,CITY,STALP,ASSET
3276,"Austin Bank, Texas National Association",Jacksonville,TX,3267608
18266,Northern Bank & Trust Company,Woburn,MA,3267182
8468,Exchange Bank,Santa Rosa,CA,3266467
17514,Banterra Bank,Marion,IL,3260267
7506,ACNB Bank,Gettysburg,PA,3253225
57607,First Western Trust Bank,Denver,CO,3238793
57633,1st Security Bank of Washington,Mountlake Terrace,WA,3203414
27235,STAR Financial Bank,Fort Wayne,IN,3190224
21591,The Bank of Greene County,Catskill,NY,3181793
32941,WestStar Bank,El Paso,TX,3174990
32574,Monet Bank,Plano,TX,3168602
4256,First National Bank,Damariscotta,ME,3165021
23622,Bristol County Savings Bank,Taunton,MA,3157745
29708,"North American Savings Bank, F.S.B.",Grandview,MO,3155799
34073,"Libertyville Bank & Trust Company, National Association",Libertyville,IL,3154274
7799,Citizens & Northern Bank,Wellsboro,PA,3153919
1291,Farmers Bank & Trust Company,Magnolia,AR,3143422
20884,Bank of Guam,Hagatna,GU,3142342
58115,Oakstar Bank,Springfield,MO,3135122
33860,The National Bank of Indianapolis,Indianapolis,IN,3128951
33867,Quad City Bank and Trust Company,Bettendorf,IA,3092675
22451,Lawrence Bank,Nashville,TN,3072746
18129,BankNewport,Middletown,RI,3068942
21031,The Bank of Tampa,Tampa,FL,3065066
17764,Centreville Bank,West Warwick,RI,3051213
1058,Midwest BankCentre,Lemay,MO,3034068
7593,First Citizens Community Bank,Mansfield,PA,3022065
30401,Penn Community Bank,Doylestown,PA,3019439
33503,Unity Bank,Clinton,NJ,3016164
15953,Guaranty Bank and Trust Company,Belzoni,MS,3011349
23647,TIB National Association,Farmers Branch,TX,2999669
18013,Mascoma Bank,Lebanon,NH,2995084
25093,Habib American Bank,New York,NY,2977085
32647,Northwest Bank,Spencer,IA,2965709
16958,Minnwest Bank,Redwood Falls,MN,2965084
19220,ANB Bank,Denver,CO,2964249
26906,Texas Regional Bank,Harlingen,TX,2959361
16604,Bank Independent,Sheffield,AL,2950523
15310,"CB&S Bank, Inc.",Russellville,AL,2938465
23473,First Fidelity Bank,Oklahoma City,OK,2933852
10044,National Exchange Bank and Trust,Fond Du Lac,WI,2933056
8866,"Merchants Bank, National Association",Winona,MN,2930432
29488,First Federal Savings and Loan Association of Lakewood,Lakewood,OH,2917042
90290,UniBank for Savings,Whitinsville,MA,2916156
698,Wayne Bank,Honesdale,PA,2915509
57997,Bryant Bank,Tuscaloosa,AL,2915023
34885,Susser Bank,Dallas,TX,2901954
57591,West Coast Community Bank,Santa Cruz,CA,2895001
17741,Maine Community Bank,Portland,ME,2894748
90196,BayCoast Bank,Swansea,MA,2885657
6423,Amboy Bank,Old Bridge,NJ,2872182
